step,sim_t,x,y,yaw,s,ey,epsi,raw_steer,safe_steer,rules_fired
192,9.6000,1.1451,0.6808,-0.2862,1.7943,0.0370,0.1720,-0.6969,-0.6969,
193,9.6500,1.1546,0.6780,-0.3000,1.8924,0.0401,0.2888,-1.0000,-0.8469,C-06
194,9.7000,1.1642,0.6749,-0.3170,1.8924,0.0429,0.2719,-0.9528,-0.9528,
195,9.7500,1.1736,0.6717,-0.3362,1.8924,0.0455,0.2526,-0.9263,-0.9263,
196,9.8000,1.1830,0.6683,-0.3549,1.8924,0.0479,0.2340,-0.9208,-0.9208,
197,9.8500,1.1924,0.6648,-0.3735,1.8924,0.0501,0.2154,-0.9098,-0.9098,
198,9.9000,1.2017,0.6610,-0.3918,1.8924,0.0522,0.1971,-0.8980,-0.8980,
199,9.9500,1.2109,0.6571,-0.4098,1.8924,0.0540,0.1790,-0.8847,-0.8847,
200,10.0000,1.2200,0.6531,-0.4276,1.8924,0.0557,0.1613,-0.8701,-0.8701,
201,10.0500,1.2291,0.6488,-0.4451,1.8924,0.0573,0.1438,-0.8542,-0.8542,
202,10.1000,1.2381,0.6445,-0.4622,1.8924,0.0586,0.1267,-0.8371,-0.8371,
203,10.1500,1.2470,0.6399,-0.4789,1.9905,0.0604,0.2415,-1.0000,-0.9871,C-06
204,10.2000,1.2558,0.6352,-0.4989,1.9905,0.0627,0.2215,-1.0000,-1.0000,
205,10.2500,1.2645,0.6304,-0.5192,1.9905,0.0648,0.2012,-1.0000,-1.0000,
206,10.3000,1.2732,0.6253,-0.5395,1.9905,0.0667,0.1810,-1.0000,-1.0000,
207,10.3500,1.2817,0.6201,-0.5598,1.9905,0.0684,0.1607,-1.0000,-1.0000,
208,10.4000,1.2901,0.6147,-0.5801,1.9905,0.0699,0.1404,-0.9770,-0.9770,
209,10.4500,1.2984,0.6091,-0.5998,1.9905,0.0712,0.1206,-0.9551,-0.9551,
210,10.5000,1.3066,0.6034,-0.6191,1.9905,0.0723,0.1013,-0.9316,-0.9316,
211,10.5500,1.3147,0.5975,-0.6379,1.9905,0.0732,0.0826,-0.9072,-0.9072,
212,10.6000,1.3227,0.5915,-0.6562,1.9905,0.0739,0.0643,-0.8818,-0.8818,
213,10.6500,1.3306,0.5853,-0.6739,1.9905,0.0745,0.0466,-0.8554,-0.8554,
214,10.7000,1.3383,0.5790,-0.6910,2.0886,0.0757,0.1593,-1.0000,-1.0000,
215,10.7500,1.3460,0.5726,-0.7113,2.0886,0.0772,0.1390,-1.0000,-1.0000,
216,10.8000,1.3535,0.5660,-0.7316,2.0886,0.0785,0.1187,-1.0000,-1.0000,
217,10.8500,1.3608,0.5592,-0.7519,2.0886,0.0796,0.0985,-1.0000,-1.0000,
218,10.9000,1.3681,0.5523,-0.7721,2.0886,0.0805,0.0782,-0.9736,-0.9736,
219,10.9500,1.3752,0.5452,-0.7918,2.0886,0.0812,0.0585,-0.9450,-0.9450,
220,11.0000,1.3821,0.5381,-0.8109,2.0886,0.0816,0.0394,-0.9156,-0.9156,
221,11.0500,1.3889,0.5308,-0.8294,2.0886,0.0819,0.0210,-0.8854,-0.8854,
222,11.1000,1.3956,0.5233,-0.8471,2.0886,0.0821,0.0032,-0.8545,-0.8545,
223,11.1500,1.4022,0.5158,-0.8643,2.0886,0.0820,-0.0139,-0.8230,-0.8230,
224,11.2000,1.4086,0.5081,-0.8807,2.0886,0.0818,-0.0304,-0.7909,-0.7909,
225,11.2500,1.4149,0.5003,-0.8965,2.1867,0.0824,0.0854,-1.0000,-0.9409,C-06
226,11.3000,1.4211,0.4925,-0.9155,2.1867,0.0832,0.0664,-0.9917,-0.9917,
227,11.3500,1.4271,0.4845,-0.9356,2.1867,0.0838,0.0463,-0.9478,-0.9478,
228,11.4000,1.4330,0.4764,-0.9547,2.1867,0.0841,0.0272,-0.9194,-0.9194,
229,11.4500,1.4387,0.4682,-0.9733,2.1867,0.0843,0.0087,-0.8874,-0.8874,
230,11.5000,1.4442,0.4598,-0.9911,2.1867,0.0843,-0.0091,-0.8552,-0.8552,
231,11.5500,1.4496,0.4514,-1.0082,2.1867,0.0841,-0.0263,-0.8224,-0.8224,
232,11.6000,1.4549,0.4429,-1.0247,2.1867,0.0838,-0.0427,-0.7891,-0.7891,
233,11.6500,1.4600,0.4343,-1.0404,2.1867,0.0833,-0.0585,-0.7554,-0.7554,
234,11.7000,1.4650,0.4257,-1.0555,2.1867,0.0826,-0.0735,-0.7213,-0.7213,
235,11.7500,1.4699,0.4169,-1.0698,2.1867,0.0818,-0.0879,-0.6870,-0.6870,
236,11.8000,1.4746,0.4081,-1.0834,2.2848,0.0820,0.0292,-1.0000,-0.8370,C-06
237,11.8500,1.4792,0.3993,-1.1002,2.2848,0.0822,0.0124,-0.8839,-0.8839,
238,11.9000,1.4837,0.3903,-1.1179,2.2848,0.0823,-0.0053,-0.8394,-0.8394,
239,11.9500,1.4880,0.3813,-1.1347,2.2848,0.0821,-0.0221,-0.8097,-0.8097,
240,12.0000,1.4921,0.3722,-1.1509,2.2848,0.0818,-0.0383,-0.7770,-0.7770,
241,12.0500,1.4961,0.3630,-1.1664,2.2848,0.0814,-0.0538,-0.7442,-0.7442,
242,12.1000,1.5000,0.3538,-1.1812,2.2848,0.0808,-0.0686,-0.7111,-0.7111,
243,12.1500,1.5037,0.3445,-1.1953,2.2848,0.0800,-0.0827,-0.6777,-0.6777,
244,12.2000,1.5073,0.3352,-1.2088,2.2848,0.0791,-0.0962,-0.6441,-0.6441,
245,12.2500,1.5108,0.3258,-1.2215,2.2848,0.0781,-0.1089,-0.6104,-0.6104,
246,12.3000,1.5142,0.3164,-1.2336,2.2848,0.0769,-0.1209,-0.5766,-0.5766,
247,12.3500,1.5174,0.3070,-1.2449,2.3829,0.0770,-0.0010,-1.0000,-0.7266,C-06
248,12.4000,1.5206,0.2975,-1.2594,2.3829,0.0769,-0.0155,-0.7793,-0.7793,
249,12.4500,1.5236,0.2879,-1.2749,2.3829,0.0767,-0.0310,-0.7354,-0.7354,
250,12.5000,1.5264,0.2783,-1.2895,2.3829,0.0763,-0.0457,-0.7072,-0.7072,
251,12.5500,1.5291,0.2687,-1.3036,2.3829,0.0758,-0.0597,-0.6759,-0.6759,
