step,sim_t,x,y,yaw,s,ey,epsi,raw_steer,safe_steer,rules_fired
143,7.1500,0.0000,1.4800,1.5708,1.4000,-0.0000,0.0000,0.0000,0.0000,
144,7.2000,0.0000,1.4900,1.5708,1.4000,-0.0000,0.0000,0.0000,0.0000,
145,7.2500,0.0000,1.5000,1.5708,1.5000,-0.0000,-0.0627,0.5959,0.1500,C-06
146,7.3000,-0.0000,1.5100,1.5737,1.5000,-0.0006,-0.0598,0.1104,0.1104,
147,7.3500,-0.0001,1.5200,1.5759,1.5000,-0.0012,-0.0577,0.1189,0.1189,
148,7.4000,-0.0001,1.5300,1.5782,1.5000,-0.0018,-0.0553,0.1196,0.1196,
149,7.4500,-0.0002,1.5400,1.5805,1.5000,-0.0023,-0.0530,0.1211,0.1211,
150,7.5000,-0.0003,1.5500,1.5829,1.5000,-0.0028,-0.0507,0.1221,0.1221,
151,7.5500,-0.0004,1.5600,1.5852,1.5000,-0.0033,-0.0483,0.1229,0.1229,
152,7.6000,-0.0006,1.5700,1.5876,1.5000,-0.0038,-0.0459,0.1234,0.1234,
153,7.6500,-0.0008,1.5800,1.5900,1.5000,-0.0042,-0.0435,0.1237,0.1237,
154,7.7000,-0.0010,1.5900,1.5924,1.5000,-0.0047,-0.0411,0.1237,0.1237,
155,7.7500,-0.0012,1.6000,1.5948,1.5000,-0.0051,-0.0387,0.1234,0.1234,
156,7.8000,-0.0015,1.6100,1.5972,1.6005,-0.0066,-0.1618,1.0000,0.2734,C-06
157,7.8500,-0.0018,1.6200,1.6026,1.6005,-0.0081,-0.1564,0.3848,0.3848,
158,7.9000,-0.0021,1.6300,1.6101,1.6005,-0.0097,-0.1489,0.3704,0.3704,
159,7.9500,-0.0025,1.6400,1.6173,1.6005,-0.0111,-0.1417,0.3748,0.3748,
160,8.0000,-0.0030,1.6500,1.6247,1.6005,-0.0125,-0.1343,0.3753,0.3753,
161,8.0500,-0.0036,1.6599,1.6320,1.6005,-0.0138,-0.1270,0.3755,0.3755,
162,8.1000,-0.0043,1.6699,1.6394,1.6005,-0.0150,-0.1197,0.3748,0.3748,
163,8.1500,-0.0050,1.6799,1.6467,1.6005,-0.0162,-0.1123,0.3735,0.3735,
164,8.2000,-0.0058,1.6899,1.6540,1.6005,-0.0173,-0.1050,0.3714,0.3714,
165,8.2500,-0.0067,1.6998,1.6613,1.6005,-0.0183,-0.0978,0.3686,0.3686,
166,8.3000,-0.0076,1.7098,1.6685,1.7010,-0.0200,-0.2172,1.0000,0.5186,C-06
167,8.3500,-0.0086,1.7197,1.6787,1.7010,-0.0221,-0.2070,0.6203,0.6203,
168,8.4000,-0.0098,1.7297,1.6909,1.7010,-0.0241,-0.1947,0.6028,0.6028,
169,8.4500,-0.0110,1.7396,1.7028,1.7010,-0.0260,-0.1828,0.6032,0.6032,
170,8.5000,-0.0124,1.7495,1.7147,1.7010,-0.0277,-0.1709,0.5993,0.5993,
171,8.5500,-0.0139,1.7594,1.7265,1.7010,-0.0294,-0.1591,0.5949,0.5949,
172,8.6000,-0.0155,1.7692,1.7383,1.7010,-0.0309,-0.1473,0.5894,0.5894,
173,8.6500,-0.0172,1.7791,1.7499,1.7010,-0.0323,-0.1357,0.5828,0.5828,
174,8.7000,-0.0190,1.7889,1.7614,1.7010,-0.0336,-0.1242,0.5753,0.5753,
175,8.7500,-0.0210,1.7987,1.7727,1.7010,-0.0348,-0.1129,0.5669,0.5669,
176,8.8000,-0.0231,1.8085,1.7839,1.7010,-0.0359,-0.1017,0.5577,0.5577,
177,8.8500,-0.0252,1.8183,1.7949,1.8014,-0.0381,-0.2160,1.0000,0.7077,C-06
178,8.9000,-0.0275,1.8280,1.8089,1.8014,-0.0402,-0.2019,0.7976,0.7976,
179,8.9500,-0.0300,1.8377,1.8249,1.8014,-0.0422,-0.1860,0.7730,0.7730,
180,9.0000,-0.0325,1.8474,1.8403,1.8014,-0.0439,-0.1706,0.7661,0.7661,
181,9.0500,-0.0353,1.8570,1.8555,1.8014,-0.0455,-0.1553,0.7548,0.7548,
182,9.1000,-0.0382,1.8666,1.8706,1.8014,-0.0470,-0.1403,0.7428,0.7428,
183,9.1500,-0.0412,1.8761,1.8853,1.8014,-0.0483,-0.1255,0.7297,0.7297,
184,9.2000,-0.0443,1.8856,1.8999,1.8014,-0.0495,-0.1110,0.7155,0.7155,
185,9.2500,-0.0476,1.8950,1.9141,1.8014,-0.0506,-0.0968,0.7005,0.7005,
186,9.3000,-0.0511,1.9044,1.9280,1.8014,-0.0515,-0.0829,0.6845,0.6845,
187,9.3500,-0.0546,1.9138,1.9415,1.9019,-0.0527,-0.1946,1.0000,0.8345,C-06
188,9.4000,-0.0583,1.9231,1.9582,1.9019,-0.0545,-0.1779,0.8984,0.8984,
189,9.4500,-0.0622,1.9323,1.9763,1.9019,-0.0562,-0.1598,0.8703,0.8703,
