stamp_s,why,ey_m,epsi_rad,lane_width_m,n_lines,confidence,reason
1788182995.020,unpaired,-0.04647,0.08066,0.22267,2,0.292,single_line
1788182995.070,unpaired,-0.04754,0.09401,0.22267,1,0.292,single_line
1788182995.120,unpaired,-0.04456,0.06912,0.22267,1,0.292,single_line
1788182995.220,unpaired,-0.04580,0.08308,0.22267,1,0.312,single_line
1788182995.270,unpaired,-0.06103,0.19347,0.22267,1,0.292,single_line
1788182995.320,unpaired,-0.05978,0.18796,0.22267,1,0.333,single_line
1788182995.370,unpaired,-0.04118,0.06213,0.22267,1,0.292,single_line
1788182995.520,unpaired,-0.04107,0.04358,0.22972,1,0.229,single_line
1788182995.570,unpaired,-0.04047,0.03794,0.22972,2,0.229,single_line
1788182995.620,unpaired,-0.04027,0.03320,0.22972,2,0.250,single_line
1788182995.670,bad_width,0.25562,-0.24286,0.29224,3,0.250,ok
1788182995.820,unpaired,-0.06485,0.15132,0.24267,2,0.292,single_line
1788182995.920,unpaired,-0.05021,0.03114,0.24843,2,0.271,single_line
1788182995.970,unpaired,-0.05006,0.02458,0.24843,1,0.250,single_line
1788182996.070,unpaired,-0.05133,0.03110,0.24843,1,0.292,single_line
1788182996.120,unpaired,-0.05469,0.05955,0.24843,1,0.271,single_line
1788182996.170,unpaired,-0.05329,0.04570,0.24843,1,0.250,single_line
1788182996.220,unpaired,-0.05320,0.04498,0.24843,1,0.271,single_line
1788182996.270,unpaired,-0.05407,0.04887,0.24843,1,0.271,single_line
1788182996.320,unpaired,-0.01455,-0.00000,0.24843,2,0.083,single_line
1788182996.470,unpaired,-0.02065,-0.00000,0.24469,2,0.083,single_line
1788182996.520,unpaired,-0.01192,-0.00000,0.24469,3,0.083,single_line
1788182996.570,unpaired,-0.04598,0.01116,0.24469,1,0.250,single_line
1788182996.620,unpaired,-0.04822,0.01990,0.24469,1,0.250,single_line
1788182996.670,unpaired,-0.04676,0.00430,0.24469,1,0.250,single_line
1788182996.770,unpaired,-0.04749,0.00457,0.24469,1,0.229,single_line
1788182996.820,unpaired,-0.04777,0.00583,0.24469,1,0.250,single_line
1788182996.870,unpaired,-0.04984,-0.00601,0.24469,1,0.250,single_line
1788182996.920,unpaired,-0.05003,-0.00754,0.24469,1,0.292,single_line
1788182997.020,unpaired,-0.05280,0.00126,0.24469,1,0.271,single_line
1788182997.070,unpaired,-0.05610,0.02963,0.24469,1,0.312,single_line
1788182997.120,unpaired,-0.06191,0.05864,0.24469,2,0.292,single_line
1788182997.220,unpaired,-0.06167,0.05462,0.24469,1,0.292,single_line
1788182997.270,unpaired,-0.06564,0.06841,0.24469,1,0.271,single_line
1788182997.320,unpaired,-0.06092,0.03510,0.24469,1,0.271,single_line
1788182997.370,unpaired,-0.05630,-0.01115,0.24469,1,0.292,single_line
1788182997.420,unpaired,-0.05613,-0.01160,0.24469,1,0.292,single_line
1788182997.470,unpaired,-0.05829,-0.00907,0.24469,1,0.292,single_line
1788182997.570,unpaired,-0.06085,-0.00349,0.24469,1,0.271,single_line
1788182997.620,unpaired,-0.06087,-0.01079,0.24469,1,0.271,single_line
1788182997.670,bad_width,0.22300,-0.32194,0.30669,2,0.354,ok
1788182997.720,bad_width,0.17174,-0.31334,0.20796,2,0.375,ok
1788182997.770,bad_width,0.16414,-0.25004,0.20235,2,0.354,ok
1788182997.820,bad_width,0.15601,-0.29473,0.18904,2,0.375,ok
1788182997.970,unpaired,-0.05488,-0.01412,0.23251,2,0.312,single_line
1788182998.020,unpaired,-0.05351,-0.02793,0.23251,2,0.312,single_line
1788182998.120,bad_width,0.55289,-0.38406,0.19423,3,0.229,ok
1788182998.170,unpaired,-0.02366,0.57289,0.22485,2,0.167,single_line
