timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06,mirror_rate
658368,91.877588,97.610,0.768666,0.222812,-3.321015,0.253206,0.374399,0.046813,0.215820,0.014648,0.000000,0.010742,0.007812,0.000000,0.008789,0.205078,0.239258
659392,97.108735,102.550,0.764685,0.177017,-3.320201,0.160252,0.257812,0.046828,0.173828,0.014648,0.000977,0.010742,0.009766,0.000000,0.009766,0.160156,0.051758
660416,89.267717,95.160,0.759144,0.171162,-3.319513,0.309341,0.255208,0.046840,0.277344,0.003906,0.000000,0.006836,0.000000,0.000000,0.002930,0.275391,0.984375
661440,89.267717,95.160,0.603194,0.158392,-3.316640,0.760120,0.400095,0.046948,0.283203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.283203,1.000000
662464,106.768609,112.410,0.552837,0.009673,-3.310689,0.477461,0.585018,0.047069,0.223633,0.018555,0.005859,0.023438,0.017578,0.000000,0.010742,0.202148,0.732422
663488,94.772391,100.780,0.792212,0.244645,-3.310471,0.866932,0.318576,0.047086,0.197266,0.008789,0.001953,0.011719,0.009766,0.000000,0.007812,0.191406,0.574219
664512,89.833079,96.430,0.778823,0.202590,-3.309325,0.216849,0.059375,0.047099,0.278320,0.014648,0.000000,0.030273,0.042969,0.000000,0.012695,0.258789,0.600586
665536,104.353886,110.570,0.734587,0.301350,-3.308868,0.163133,0.165625,0.047110,0.156250,0.000977,0.002930,0.000000,0.005859,0.000000,0.000977,0.153320,1.000000
666560,104.353886,110.570,0.790872,0.034650,-3.305366,0.167894,0.409091,0.047255,0.133789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133789,1.000000
667584,103.051888,109.400,0.624898,0.006919,-3.302428,0.198203,0.512109,0.047105,0.161133,0.004883,0.000000,0.009766,0.000000,0.000000,0.002930,0.157227,0.878906
668608,101.434550,108.430,0.638747,0.095763,-3.309318,0.136519,0.300781,0.047081,0.172852,0.011719,0.000000,0.008789,0.000977,0.000000,0.007812,0.166992,0.563477
669632,101.434550,108.430,0.922339,0.085348,-3.309050,0.496797,0.308160,0.047107,0.152344,0.000000,0.000000,0.001953,0.000000,0.000000,0.000000,0.152344,1.000000
670656,117.557049,126.130,0.719488,0.003941,-3.320218,0.237979,0.591504,0.046212,0.189453,0.004883,0.000000,0.002930,0.000000,0.000000,0.003906,0.186523,0.860352
671680,128.435927,137.770,0.865036,0.112570,-3.348555,0.300351,0.303125,0.046145,0.214844,0.000977,0.000000,0.000000,0.000000,0.000000,0.000977,0.214844,1.000000
672704,129.777046,140.020,0.855135,0.045103,-3.348412,0.602862,0.515625,0.046201,0.190430,0.003906,0.000000,0.006836,0.000977,0.000000,0.003906,0.188477,0.703125
673728,129.777046,140.020,0.884134,0.125168,-3.345781,0.202127,0.340820,0.046233,0.200195,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200195,1.000000
