iso,uptime_s,load1,mem_used_mb,mem_avail_mb,swap_used_mb,train_rss_mb,gz_rss_mb,n_gz,gpu_mem_mb,gpu_util,gpu_temp,disk_avail_gb,timestep
2026-08-21T21:43:45+02:00,209967,1.26,9615,21577,0,2118,1917,1,1236,3,55,352,1012672
2026-08-21T21:44:45+02:00,210027,1.15,9583,21609,0,2068,1917,1,1236,3,54,352,1013696
2026-08-21T21:45:45+02:00,210087,2.62,9597,21596,0,2068,1917,1,1236,2,54,352,1013696
2026-08-21T21:46:45+02:00,210147,1.73,9602,21590,0,2070,1917,1,1230,3,54,352,1014720
2026-08-21T21:47:45+02:00,210207,0.63,9624,21568,0,2083,1917,1,1230,3,54,352,1014720
2026-08-21T21:48:45+02:00,210267,0.58,9640,21553,0,2097,1917,1,1230,2,54,352,1015744
2026-08-21T21:49:45+02:00,210327,0.59,9628,21565,0,2111,1917,1,1230,2,54,352,1015744
2026-08-21T21:50:45+02:00,210387,0.56,9591,21601,0,2076,1917,1,1230,3,54,352,1016768
2026-08-21T21:51:45+02:00,210447,2.24,9599,21593,0,2076,1917,1,1230,3,54,352,1016768
2026-08-21T21:52:45+02:00,210507,2.36,9582,21610,0,2076,1917,1,1230,3,54,352,1017792
2026-08-21T21:53:45+02:00,210567,1.25,9610,21582,0,2083,1917,1,1230,3,54,352,1017792
2026-08-21T21:54:45+02:00,210627,0.83,9624,21568,0,2097,1917,1,1230,3,54,352,1018816
2026-08-21T21:55:45+02:00,210687,1.00,9631,21561,0,2111,1917,1,1230,2,54,352,1018816
2026-08-21T21:56:46+02:00,210748,0.85,9595,21598,0,2070,1917,1,1230,3,54,352,1019840
2026-08-21T21:57:46+02:00,210808,1.73,9611,21581,0,2070,1917,1,1230,2,54,352,1019840
2026-08-21T21:58:46+02:00,210868,1.55,9575,21617,0,2070,1917,1,1230,3,54,352,1020864
2026-08-21T21:59:46+02:00,210928,1.44,9604,21588,0,2080,1917,1,1230,3,55,352,1020864
2026-08-21T22:00:46+02:00,210988,1.11,9629,21563,0,2090,1917,1,1230,2,54,352,1021888
2026-08-21T22:01:46+02:00,211048,0.67,9601,21591,0,2090,1917,1,1230,3,55,352,1021888
2026-08-21T22:02:46+02:00,211108,0.58,9622,21571,0,2090,1917,1,1230,3,55,352,1022912
2026-08-21T22:03:46+02:00,211168,1.37,9622,21571,0,2090,1917,1,1230,3,55,352,1022912
2026-08-21T22:04:46+02:00,211228,1.10,9593,21599,0,2090,1917,1,1230,3,55,352,1023936
2026-08-21T22:05:46+02:00,211288,0.53,9608,21584,0,2090,1917,1,1230,3,55,352,1023936
2026-08-21T22:06:46+02:00,211348,0.26,9670,21522,0,2090,1917,1,1230,3,54,352,1024960
2026-08-21T22:07:46+02:00,211408,0.65,9614,21578,0,2090,1917,1,1230,3,54,352,1024960
2026-08-21T22:08:46+02:00,211468,0.57,9618,21575,0,2090,1917,1,1230,3,54,352,1025984
2026-08-21T22:09:46+02:00,211528,2.28,9595,21597,0,2090,1917,1,1230,3,54,352,1025984
2026-08-21T22:10:46+02:00,211588,1.66,9612,21580,0,2090,1917,1,1230,3,54,352,1027008
2026-08-21T22:11:46+02:00,211648,0.72,9628,21564,0,2090,1917,1,1230,3,54,352,1027008
2026-08-21T22:12:46+02:00,211708,0.75,9604,21588,0,2090,1917,1,1230,2,54,352,1028032
2026-08-21T22:13:46+02:00,211768,0.91,9623,21569,0,2090,1917,1,1230,2,54,352,1028032
2026-08-21T22:14:46+02:00,211828,3.23,9624,21569,0,2090,1917,1,1230,3,54,352,1029056
2026-08-21T22:15:46+02:00,211888,1.85,9611,21581,0,2090,1917,1,1230,3,54,352,1029056
2026-08-21T22:16:46+02:00,211948,1.18,9631,21561,0,2090,1917,1,1230,3,54,352,1030080
2026-08-21T22:17:46+02:00,212008,0.91,9639,21554,0,2090,1917,1,1230,2,54,352,1030080
2026-08-21T22:18:46+02:00,212068,1.22,9626,21567,0,2090,1917,1,1230,3,54,352,1031104
2026-08-21T22:19:46+02:00,212128,1.21,9634,21558,0,2090,1917,1,1230,3,54,352,1031104
2026-08-21T22:20:46+02:00,212188,1.39,9667,21525,0,2093,1917,1,1230,3,55,352,1032128
2026-08-21T22:21:46+02:00,212248,1.68,9638,21554,0,2106,1917,1,1230,3,54,352,1032128
2026-08-21T22:22:46+02:00,212308,1.31,9648,21544,0,2118,1917,1,1230,3,55,352,1033152
2026-08-21T22:23:46+02:00,212368,0.89,9659,21533,0,2118,1917,1,1230,3,55,352,1033152
2026-08-21T22:24:46+02:00,212428,1.04,9598,21594,0,2076,1917,1,1230,3,55,352,1034176
2026-08-21T22:25:46+02:00,212488,0.94,9605,21588,0,2076,1917,1,1230,3,55,352,1034176
2026-08-21T22:26:46+02:00,212548,0.98,9601,21591,0,2076,1917,1,1230,3,55,352,1035200
2026-08-21T22:27:46+02:00,212608,2.06,9595,21598,0,2080,1917,1,1230,3,55,352,1035200
2026-08-21T22:28:47+02:00,212669,2.41,9632,21561,0,2094,1917,1,1230,3,55,352,1036224
2026-08-21T22:29:47+02:00,212729,1.59,9652,21540,0,2107,1917,1,1230,3,55,352,1036224
2026-08-21T22:30:47+02:00,212789,1.19,9629,21563,0,2118,1917,1,1230,3,55,352,1037248
2026-08-21T22:31:47+02:00,212849,0.73,9648,21544,0,2118,1917,1,1230,3,55,352,1037248
2026-08-21T22:32:47+02:00,212909,1.53,9628,21564,0,2076,1917,1,1230,3,55,352,1038272
2026-08-21T22:33:47+02:00,212969,3.13,9666,21526,0,2076,1917,1,1230,3,55,352,1038272
2026-08-21T22:34:47+02:00,213029,1.90,9624,21568,0,2077,1917,1,1230,2,55,352,1039296
2026-08-21T22:35:47+02:00,213089,0.88,9618,21574,0,2081,1917,1,1230,3,55,352,1039296
