step,sim_t,x,y,yaw,s,ey,epsi,raw_steer,safe_steer,rules_fired
251,12.5500,2.3003,0.4720,1.2260,10.4274,-0.0665,0.0315,0.6315,0.6315,
252,12.6000,2.3036,0.4814,1.2385,10.4274,-0.0661,0.0440,0.6045,0.6045,
253,12.6500,2.3069,0.4909,1.2504,10.4274,-0.0656,0.0559,0.5777,0.5777,
254,12.7000,2.3099,0.5004,1.2618,10.4274,-0.0650,0.0673,0.5506,0.5506,
255,12.7500,2.3129,0.5099,1.2727,10.4274,-0.0642,0.0781,0.5234,0.5234,
256,12.8000,2.3158,0.5195,1.2830,10.4274,-0.0634,0.0884,0.4960,0.4960,
257,12.8500,2.3186,0.5291,1.2927,10.4274,-0.0625,0.0982,0.4686,0.4686,
258,12.9000,2.3213,0.5387,1.3019,10.5278,-0.0621,-0.0174,1.0000,0.6186,C-06
259,12.9500,2.3239,0.5484,1.3141,10.5278,-0.0622,-0.0052,0.6635,0.6635,
260,13.0000,2.3264,0.5581,1.3273,10.5278,-0.0622,0.0080,0.6286,0.6286,
261,13.0500,2.3287,0.5678,1.3397,10.5278,-0.0621,0.0204,0.6063,0.6063,
262,13.1000,2.3310,0.5775,1.3517,10.5278,-0.0618,0.0324,0.5815,0.5815,
263,13.1500,2.3331,0.5873,1.3631,10.5278,-0.0614,0.0438,0.5568,0.5568,
264,13.2000,2.3351,0.5971,1.3741,10.5278,-0.0609,0.0548,0.5317,0.5317,
265,13.2500,2.3370,0.6069,1.3845,10.5278,-0.0603,0.0652,0.5064,0.5064,
266,13.3000,2.3388,0.6168,1.3945,10.5278,-0.0596,0.0752,0.4810,0.4810,
267,13.3500,2.3405,0.6266,1.4039,10.5278,-0.0588,0.0846,0.4556,0.4556,
268,13.4000,2.3421,0.6365,1.4129,10.5278,-0.0579,0.0936,0.4301,0.4301,
269,13.4500,2.3437,0.6464,1.4213,10.6283,-0.0579,-0.0238,1.0000,0.5801,C-06
270,13.5000,2.3451,0.6563,1.4327,10.6283,-0.0580,-0.0123,0.6345,0.6345,
271,13.5500,2.3464,0.6662,1.4453,10.6283,-0.0581,0.0002,0.6003,0.6003,
272,13.6000,2.3476,0.6761,1.4571,10.6283,-0.0580,0.0120,0.5801,0.5801,
